@relation ephenology_all-5-fold-3-08R.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 {A.tomentosum,C.brasiliensis,M.guianensis,M.rubiginosa,P.ramiflora,P.torta}

@data

0.346667,0.341902,0.335593,0.34632,0.348624,0.348974,0.34965,0.346734,0.345972,0.351906,0.370647,0.335244,0.355482,0.347518,0.35446,0.341333,0.348525,0.351648,0.359649,0.355603,0.346639,0.35619,0.335714,0.361111,0.356574,0.356808,0.365517,0.344156,0.349537,0.346555,0.348387,0.364919,0.359031,0.350365,0.36965,0.346369,0.364269,5546,P.torta
0.367688,0.372881,0.372727,0.380822,0.375622,0.374702,0.37123,0.370968,0.377574,0.377358,0.374707,0.36409,0.372596,0.379475,0.384615,0.356098,0.3625,0.363363,0.365591,0.364672,0.367953,0.362832,0.363402,0.365132,0.362126,0.361446,0.364985,0.361702,0.366559,0.365385,0.376623,0.369775,0.357377,0.368812,0.373626,0.365942,0.363077,5354,C.brasiliensis
0.357143,0.346591,0.355357,0.345576,0.347471,0.356048,0.352941,0.351687,0.360345,0.356863,0.367041,0.351032,0.347953,0.358362,0.372943,0.362563,0.357143,0.357895,0.352137,0.351082,0.349914,0.352941,0.355482,0.365169,0.363139,0.360146,0.348797,0.359589,0.36,0.364791,0.361011,0.362862,0.359855,0.36014,0.355049,0.350937,0.356589,2999,P.ramiflora
0.356164,0.35122,0.348534,0.347826,0.345133,0.349131,0.356013,0.349057,0.354633,0.357504,0.363636,0.350746,0.35461,0.349153,0.360738,0.349454,0.351471,0.355388,0.347287,0.346386,0.347953,0.350076,0.348643,0.35748,0.354134,0.355556,0.346786,0.35,0.34964,0.350144,0.352857,0.351003,0.353125,0.359524,0.356725,0.348201,0.36248,3161,P.ramiflora
0.294624,0.296073,0.283293,0.289412,0.286713,0.282759,0.285057,0.289888,0.286697,0.288835,0.274419,0.291228,0.272401,0.279621,0.26747,0.283784,0.283372,0.277457,0.28976,0.293217,0.289079,0.290393,0.29393,0.285388,0.287736,0.292411,0.301518,0.290541,0.294118,0.295045,0.295238,0.29385,0.295844,0.290323,0.281646,0.284337,0.270619,6371,P.torta
0.333795,0.335586,0.333333,0.330137,0.329252,0.334711,0.333791,0.330556,0.334728,0.339259,0.340877,0.333333,0.332599,0.336565,0.344333,0.341463,0.338323,0.343023,0.338129,0.33815,0.331453,0.336296,0.330918,0.341385,0.3375,0.338658,0.334286,0.334815,0.336957,0.335714,0.336973,0.3376,0.336752,0.324121,0.333333,0.332824,0.332293,2934,P.torta
0.366667,0.364486,0.36246,0.365269,0.370482,0.365325,0.367284,0.360502,0.373802,0.358255,0.364985,0.359649,0.37092,0.361538,0.350554,0.356364,0.342007,0.349091,0.352941,0.356877,0.360784,0.350195,0.354545,0.354962,0.343096,0.345,0.342723,0.341232,0.334951,0.342466,0.351064,0.348624,0.348039,0.365079,0.372671,0.359223,0.364,5663,C.brasiliensis
0.35,0.361582,0.352159,0.367041,0.364217,0.358209,0.352713,0.355649,0.366412,0.359223,0.356164,0.362637,0.366577,0.355072,0.356643,0.35905,0.352381,0.361111,0.363958,0.368056,0.362264,0.367698,0.361582,0.369863,0.366667,0.361905,0.365854,0.361194,0.364985,0.363636,0.366366,0.362881,0.363372,0.361111,0.368831,0.362069,0.362069,4370,M.rubiginosa
0.351536,0.361644,0.354478,0.346484,0.348877,0.360627,0.358234,0.352641,0.363472,0.364522,0.362657,0.354167,0.356287,0.351724,0.363958,0.356506,0.360507,0.372093,0.353638,0.349917,0.348485,0.351171,0.353659,0.36803,0.364299,0.365766,0.345794,0.356667,0.364912,0.365812,0.361953,0.363929,0.368151,0.360502,0.367292,0.350482,0.360406,2998,P.ramiflora
0.370066,0.377934,0.373077,0.367089,0.3625,0.375899,0.371634,0.367003,0.370307,0.374138,0.372483,0.367483,0.370155,0.374088,0.380692,0.375,0.374016,0.383178,0.374545,0.372378,0.376984,0.369338,0.370213,0.381323,0.373684,0.373494,0.372428,0.374525,0.381339,0.377593,0.379845,0.375486,0.376726,0.369352,0.373832,0.369565,0.37479,4241,M.rubiginosa
0.331586,0.328482,0.333333,0.330698,0.329829,0.331586,0.331579,0.329829,0.333333,0.332447,0.332895,0.317778,0.318584,0.333333,0.334211,0.333771,0.332895,0.331683,0.333333,0.33377,0.330709,0.333771,0.316348,0.332893,0.333775,0.332457,0.334646,0.333333,0.334214,0.332895,0.332016,0.332457,0.333333,0.317427,0.333333,0.331579,0.335106,3238,P.torta
0.376471,0.387931,0.380567,0.37551,0.374074,0.391892,0.38,0.382857,0.387387,0.373984,0.377193,0.375758,0.392617,0.37931,0.370213,0.375796,0.393939,0.39521,0.454545,0.393258,0.395833,0.44,0.417989,0.429448,0.392593,0.407407,0.608696,0.484848,0.43617,0.427273,0.436893,0.439655,0.472527,0.408889,0.456,0.514286,0.398773,7335,M.rubiginosa
0.37037,0.377315,0.388128,0.380048,0.379098,0.389021,0.379391,0.378619,0.38041,0.37296,0.379545,0.376147,0.382423,0.381375,0.379147,0.372816,0.374718,0.376623,0.383663,0.383863,0.370968,0.382927,0.372093,0.382488,0.377315,0.378788,0.38013,0.380091,0.382199,0.388889,0.395522,0.384615,0.377273,0.373853,0.386243,0.378505,0.379653,5251,C.brasiliensis
