@relation ephenology_all-5-fold-2-08R.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 {A.tomentosum,C.brasiliensis,M.guianensis,M.rubiginosa,P.ramiflora,P.torta}

@data

0.330698,0.333333,0.333777,0.329815,0.331135,0.332011,0.332011,0.332889,0.33557,0.341808,0.338753,0.329327,0.32243,0.33245,0.339623,0.337366,0.345272,0.338645,0.336043,0.338398,0.331572,0.336942,0.32619,0.342262,0.331865,0.340486,0.335165,0.337912,0.337739,0.339623,0.3377,0.342541,0.332845,0.319307,0.323045,0.330189,0.333811,2814,P.torta
0.360784,0.363029,0.365915,0.356077,0.35518,0.357456,0.364679,0.358852,0.37123,0.369767,0.36853,0.363057,0.368852,0.359667,0.372591,0.359841,0.367542,0.367647,0.365196,0.36983,0.3675,0.37467,0.365591,0.374372,0.373656,0.371274,0.369231,0.372152,0.366492,0.368421,0.375335,0.371795,0.362745,0.359031,0.379845,0.362468,0.368653,3601,M.rubiginosa
0.338742,0.343964,0.338831,0.33284,0.335714,0.329803,0.333333,0.332298,0.336826,0.339315,0.34717,0.338369,0.328488,0.338983,0.342491,0.33945,0.3379,0.341948,0.334746,0.335219,0.334783,0.33477,0.33046,0.338806,0.338855,0.33913,0.333815,0.337143,0.339734,0.336182,0.336765,0.337644,0.335357,0.334365,0.34026,0.334802,0.334944,3178,P.ramiflora
0.357143,0.37092,0.361386,0.347744,0.350746,0.353383,0.362637,0.364055,0.366812,0.378109,0.370892,0.362229,0.382716,0.354772,0.368015,0.35649,0.35614,0.374005,0.354911,0.351548,0.359268,0.356371,0.371951,0.36689,0.362637,0.36,0.351946,0.354597,0.35259,0.355172,0.354962,0.356551,0.362832,0.3725,0.382892,0.353251,0.361111,4430,M.guianensis
0.360976,0.372168,0.345912,0.353261,0.353933,0.362573,0.350575,0.349206,0.364641,0.362069,0.355,0.379518,0.382263,0.361111,0.359788,0.345794,0.364583,0.372449,0.351759,0.361386,0.350282,0.365591,0.369176,0.367442,0.384236,0.382716,0.384615,0.40249,0.384615,0.382812,0.398467,0.387755,0.380623,0.367347,0.379518,0.389474,0.375,4558,C.brasiliensis
0.300676,0.276008,0.294521,0.299475,0.297909,0.295455,0.29316,0.302326,0.298748,0.293578,0.277359,0.244068,0.207407,0.277185,0.269307,0.273109,0.291913,0.275449,0.290389,0.293522,0.291417,0.298755,0.263566,0.275934,0.284211,0.287356,0.294118,0.295496,0.290676,0.29877,0.301818,0.301165,0.303249,0.272222,0.249364,0.273305,0.267465,6476,P.torta
0.354015,0.364621,0.361538,0.366038,0.363958,0.356,0.353414,0.353191,0.363636,0.362319,0.353357,0.360269,0.358974,0.342742,0.350554,0.356115,0.340996,0.363309,0.356164,0.352423,0.352381,0.344681,0.359862,0.366102,0.37931,0.379182,0.367769,0.362416,0.364198,0.374101,0.370588,0.372308,0.373089,0.361204,0.371166,0.372928,0.374648,3545,M.rubiginosa
0.378261,0.376623,0.368522,0.378495,0.369403,0.371486,0.37747,0.373016,0.378049,0.376682,0.380851,0.378698,0.37037,0.380435,0.378753,0.379237,0.371308,0.373134,0.371663,0.378619,0.361062,0.368421,0.373887,0.381279,0.383908,0.378505,0.378495,0.380313,0.379464,0.378788,0.38427,0.383772,0.381279,0.375723,0.388889,0.375546,0.383178,4767,C.brasiliensis
0.371429,0.373913,0.387255,0.363793,0.379227,0.387097,0.385776,0.374741,0.386728,0.377907,0.38193,0.371298,0.38,0.377049,0.381733,0.385749,0.374359,0.376731,0.372514,0.375691,0.380074,0.380583,0.377934,0.374302,0.385093,0.367232,0.364912,0.379691,0.369168,0.376782,0.379531,0.368159,0.370432,0.384966,0.390411,0.360738,0.378378,5097,C.brasiliensis
0.334795,0.347258,0.33532,0.331507,0.327846,0.333813,0.331903,0.334728,0.335674,0.344512,0.341211,0.350299,0.354232,0.334752,0.345753,0.337243,0.33815,0.346743,0.338068,0.337143,0.334752,0.33474,0.339674,0.340206,0.340176,0.336538,0.336592,0.338912,0.338594,0.339007,0.338549,0.341033,0.346264,0.348214,0.341523,0.336986,0.347305,5595,P.torta
0.377232,0.386667,0.375,0.37045,0.370722,0.37732,0.377551,0.366876,0.376782,0.377574,0.382883,0.373297,0.378307,0.376068,0.378619,0.379242,0.373225,0.376289,0.378099,0.372984,0.375,0.374486,0.373402,0.384279,0.384434,0.382609,0.373281,0.375723,0.378819,0.379576,0.383858,0.382524,0.380658,0.380463,0.385417,0.375734,0.379232,4414,C.brasiliensis
0.368421,0.376022,0.374768,0.369863,0.372727,0.387716,0.385932,0.378486,0.377532,0.383817,0.381651,0.374684,0.383249,0.371528,0.384615,0.371681,0.376384,0.386768,0.3766,0.37931,0.368512,0.372973,0.37284,0.381857,0.383698,0.387879,0.375887,0.382022,0.38523,0.390099,0.387454,0.389635,0.380368,0.382199,0.391414,0.376984,0.37931,4880,C.brasiliensis
0.329829,0.308738,0.333333,0.329829,0.329829,0.331579,0.331143,0.329829,0.333333,0.329609,0.336424,0.309693,0.302277,0.329829,0.334211,0.330677,0.331126,0.317901,0.333333,0.330263,0.331126,0.327128,0.317391,0.317073,0.32517,0.326975,0.323925,0.325333,0.322011,0.31886,0.326027,0.322888,0.323864,0.301149,0.311475,0.317872,0.31831,3460,M.rubiginosa
0.374396,0.377309,0.379679,0.372654,0.375959,0.376316,0.378947,0.373096,0.380208,0.372796,0.378173,0.371353,0.374005,0.375959,0.381333,0.378713,0.377005,0.377643,0.382353,0.376,0.380697,0.375,0.373297,0.382436,0.379213,0.380682,0.381471,0.382586,0.383784,0.384,0.384,0.385827,0.379679,0.374346,0.380165,0.380319,0.378866,3842,M.rubiginosa
