@relation ephenology_all-5-fold-2-11B.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 {A.tomentosum,C.brasiliensis,M.guianensis,M.rubiginosa,P.ramiflora,P.torta}

@data

0.323232,0.341304,0.325397,0.321519,0.32439,0.320197,0.310078,0.325926,0.316176,0.305556,0.316562,0.315403,0.310484,0.302267,0.311224,0.294737,0.315789,0.3,0.313019,0.31686,0.315642,0.297735,0.29863,0.297297,0.29972,0.321739,0.318644,0.30814,0.315036,0.305389,0.303303,0.304348,0.304985,0.299742,0.323529,0.32948,0.320413,2814,P.torta
0.275568,0.29638,0.282686,0.286667,0.287162,0.282051,0.281437,0.279874,0.282353,0.266491,0.280255,0.276284,0.285441,0.270886,0.271663,0.274648,0.285714,0.283898,0.281796,0.280519,0.283619,0.289544,0.286052,0.278571,0.288043,0.289412,0.286822,0.284153,0.305128,0.27154,0.283619,0.281796,0.284165,0.287958,0.285714,0.287179,0.286076,3601,M.rubiginosa
0.32199,0.337264,0.34555,0.339286,0.341333,0.342466,0.339674,0.339623,0.339572,0.33908,0.330667,0.333333,0.33913,0.341637,0.33758,0.33123,0.350769,0.344648,0.343042,0.342282,0.33935,0.352941,0.339506,0.331058,0.341297,0.340836,0.339623,0.338078,0.360465,0.337705,0.331169,0.324324,0.328076,0.339683,0.325581,0.340176,0.33711,3178,P.ramiflora
0.302251,0.277143,0.281928,0.305195,0.28739,0.296417,0.295276,0.276316,0.286667,0.291667,0.288515,0.29393,0.297214,0.292208,0.29,0.296407,0.304498,0.295393,0.296552,0.296407,0.295374,0.30038,0.283186,0.290801,0.283019,0.291317,0.302632,0.290419,0.30625,0.29765,0.279365,0.289634,0.284431,0.28,0.289817,0.331058,0.288945,4430,M.guianensis
0.288538,0.281346,0.303167,0.285714,0.288793,0.283898,0.282787,0.278431,0.281369,0.278761,0.29,0.283088,0.293605,0.299145,0.282946,0.279661,0.286432,0.293706,0.274038,0.273171,0.283721,0.285,0.296552,0.285714,0.277978,0.286689,0.290196,0.287938,0.298851,0.281588,0.275542,0.274691,0.280556,0.275542,0.275949,0.27566,0.275862,4558,C.brasiliensis
0.406504,0.453202,0.438525,0.43299,0.427105,0.428279,0.431174,0.425311,0.419958,0.434483,0.415418,0.432642,0.409884,0.460591,0.453865,0.455243,0.441527,0.432161,0.449132,0.440415,0.447439,0.455414,0.439306,0.443478,0.436314,0.439353,0.434783,0.426702,0.445498,0.418231,0.426184,0.42623,0.425068,0.427056,0.5,0.47099,0.444751,6476,P.torta
0.282869,0.293919,0.286885,0.288538,0.281513,0.296029,0.282946,0.286245,0.281369,0.292308,0.29375,0.292419,0.309278,0.29304,0.298611,0.297945,0.294498,0.297578,0.300654,0.297735,0.296928,0.302041,0.307407,0.294915,0.295455,0.295775,0.304487,0.297945,0.32971,0.299003,0.295775,0.295374,0.296029,0.30566,0.294964,0.297468,0.306202,3545,M.rubiginosa
0.252874,0.266272,0.271478,0.271955,0.26045,0.254902,0.249169,0.258675,0.256966,0.257042,0.25876,0.265625,0.267477,0.265861,0.262997,0.269565,0.269113,0.272988,0.263345,0.265372,0.264085,0.264463,0.274448,0.268139,0.262238,0.269697,0.272727,0.261993,0.285211,0.265432,0.260062,0.260736,0.266871,0.270358,0.270588,0.272981,0.266904,4767,C.brasiliensis
0.260965,0.272512,0.269136,0.253061,0.256684,0.255875,0.258216,0.254692,0.257294,0.256219,0.258503,0.255495,0.266667,0.257703,0.263021,0.257895,0.257143,0.266055,0.262032,0.25072,0.247839,0.266234,0.264198,0.262467,0.25419,0.27154,0.27193,0.257703,0.300268,0.257396,0.258883,0.267857,0.254848,0.266497,0.278509,0.262458,0.270396,5097,C.brasiliensis
