@relation ephenology_all-5-fold-5-06G.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 {A.tomentosum,C.brasiliensis,M.guianensis,M.rubiginosa,P.ramiflora,P.torta}

@data

0.333333,0.330769,0.320988,0.323725,0.330416,0.324022,0.327628,0.339024,0.329609,0.324645,0.329305,0.32872,0.32069,0.326996,0.32562,0.332039,0.327778,0.313758,0.318542,0.322339,0.327068,0.323587,0.318658,0.334651,0.319936,0.31433,0.3186,0.317308,0.318182,0.315686,0.320552,0.318702,0.324111,0.328228,0.33782,0.320236,0.314647,2513,P.torta
0.312925,0.300885,0.321101,0.292683,0.300699,0.306202,0.310811,0.331148,0.330739,0.323741,0.334711,0.315175,0.285714,0.317919,0.315534,0.329843,0.314286,0.316049,0.312343,0.318907,0.316049,0.315657,0.313131,0.320346,0.320099,0.312958,0.313433,0.306069,0.318059,0.316354,0.317949,0.316327,0.313726,0.314208,0.325871,0.312336,0.310606,1417,C.brasiliensis
0.333333,0.311765,0.341709,0.340292,0.336714,0.325123,0.333333,0.3375,0.342995,0.339912,0.338583,0.326371,0.311178,0.34609,0.34472,0.346092,0.342229,0.333879,0.343284,0.34255,0.341297,0.337288,0.336976,0.338403,0.342609,0.339117,0.341297,0.341418,0.345794,0.343374,0.347664,0.345703,0.347992,0.345815,0.342048,0.349716,0.350694,1792,M.rubiginosa
0.331288,0.305882,0.330882,0.334572,0.314488,0.339844,0.321799,0.344156,0.341912,0.342508,0.34252,0.311594,0.317992,0.350769,0.344538,0.335092,0.3382,0.336343,0.346734,0.351544,0.343284,0.341969,0.341837,0.353723,0.349876,0.345572,0.343318,0.341646,0.340796,0.339667,0.345178,0.337868,0.334792,0.337209,0.351648,0.338983,0.342404,4463,C.brasiliensis
0.324561,0.333333,0.32,0.325153,0.293103,0.310345,0.313609,0.327381,0.33121,0.331461,0.339869,0.315476,0.331034,0.323671,0.329268,0.319672,0.316,0.317647,0.32,0.319703,0.319838,0.314286,0.311741,0.318937,0.316981,0.307692,0.314516,0.3125,0.315126,0.315353,0.32,0.3083,0.3125,0.313305,0.316667,0.303797,0.319328,6291,P.torta
0.327103,0.316176,0.329843,0.333333,0.338095,0.326761,0.331754,0.342657,0.336134,0.339066,0.342262,0.332237,0.349442,0.345521,0.344954,0.342806,0.33777,0.337248,0.340034,0.344037,0.34466,0.345178,0.344762,0.332756,0.341682,0.33612,0.34083,0.338346,0.339147,0.33871,0.337638,0.337838,0.337187,0.340278,0.329341,0.330922,0.335628,1160,C.brasiliensis
0.348066,0.336283,0.333333,0.336134,0.33871,0.35814,0.342629,0.344961,0.347458,0.347826,0.344538,0.347181,0.344,0.349823,0.345946,0.34349,0.356201,0.352246,0.349727,0.356757,0.358166,0.349727,0.354839,0.347188,0.354667,0.34555,0.348684,0.349544,0.355623,0.347953,0.35873,0.349544,0.351744,0.345499,0.340502,0.350943,0.350877,4540,C.brasiliensis
0.342857,0.305263,0.347826,0.340659,0.326923,0.344828,0.331081,0.329114,0.34375,0.335329,0.331461,0.334586,0.326829,0.323529,0.332248,0.325424,0.321799,0.325342,0.325758,0.321678,0.329412,0.330677,0.326389,0.33574,0.33,0.328571,0.328467,0.326531,0.32646,0.330033,0.326165,0.323944,0.330033,0.321023,0.336406,0.317829,0.328571,5339,C.brasiliensis
0.294118,0.330827,0.322148,0.310638,0.338235,0.347458,0.340136,0.347368,0.346715,0.335484,0.34,0.327273,0.343396,0.338583,0.34873,0.349558,0.343964,0.350711,0.349614,0.351415,0.34965,0.349537,0.35123,0.351942,0.351544,0.347072,0.346062,0.346734,0.349367,0.345972,0.347826,0.35023,0.342857,0.342163,0.3531,0.339109,0.349633,3841,M.rubiginosa
