@relation ephenology_all-5-fold-2-06G.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 {A.tomentosum,C.brasiliensis,M.guianensis,M.rubiginosa,P.ramiflora,P.torta}

@data

0.333333,0.310811,0.327485,0.306195,0.325088,0.334755,0.332054,0.338462,0.337349,0.334545,0.34264,0.335244,0.336957,0.337481,0.339939,0.34466,0.341463,0.334913,0.338257,0.331072,0.337461,0.334936,0.34629,0.337333,0.336705,0.338936,0.331761,0.336788,0.341584,0.345259,0.336207,0.338028,0.341935,0.342857,0.332378,0.328682,0.322359,2814,P.torta
0.333333,0.294118,0.333333,0.333333,0.328467,0.321429,0.326923,0.338462,0.336735,0.341693,0.338509,0.329897,0.321127,0.341518,0.338858,0.341071,0.34585,0.341797,0.33682,0.344488,0.344262,0.338235,0.34004,0.346392,0.345528,0.340164,0.343558,0.339168,0.345815,0.339019,0.351598,0.33682,0.340164,0.344609,0.355556,0.342466,0.346939,3601,M.rubiginosa
0.33195,0.333333,0.328502,0.327243,0.322526,0.326044,0.334594,0.328846,0.32538,0.333973,0.32659,0.322449,0.336634,0.318725,0.323404,0.317697,0.319444,0.317869,0.321739,0.320946,0.320583,0.318618,0.318458,0.32265,0.318919,0.320583,0.316695,0.315197,0.318359,0.309572,0.31793,0.313076,0.315298,0.318766,0.331707,0.315888,0.320339,3178,P.ramiflora
0.323529,0.317757,0.335938,0.329412,0.334572,0.319249,0.330357,0.333333,0.339623,0.330508,0.335938,0.327206,0.304348,0.334197,0.334365,0.332542,0.329114,0.331683,0.330601,0.334821,0.336788,0.326531,0.328402,0.33795,0.341014,0.340816,0.339695,0.340206,0.339535,0.340708,0.344907,0.33853,0.34632,0.347534,0.335013,0.340045,0.348993,4430,M.guianensis
0.341085,0.33,0.338346,0.319728,0.331126,0.328358,0.327381,0.333333,0.323171,0.337079,0.327684,0.328413,0.330275,0.331731,0.342105,0.332143,0.325581,0.337121,0.334764,0.330769,0.331967,0.320158,0.323741,0.339233,0.334405,0.327327,0.334483,0.333333,0.342767,0.34472,0.340909,0.339394,0.33795,0.339901,0.350649,0.341137,0.347826,4558,C.brasiliensis
0.333333,0.330508,0.328431,0.328479,0.329114,0.325773,0.325444,0.330629,0.316354,0.327696,0.325424,0.308271,0.306977,0.3222,0.320628,0.318083,0.318681,0.313373,0.319392,0.3223,0.327957,0.321691,0.317526,0.312312,0.320072,0.319927,0.327332,0.314545,0.315261,0.311234,0.317073,0.323944,0.315141,0.312941,0.309456,0.307273,0.324515,6476,P.torta
0.31,0.333333,0.333333,0.284483,0.329114,0.333333,0.341463,0.330097,0.335079,0.327103,0.330097,0.312217,0.314607,0.335907,0.332258,0.333333,0.331288,0.331288,0.332168,0.332308,0.326797,0.326667,0.329154,0.335244,0.33121,0.325779,0.321543,0.321429,0.324675,0.32381,0.323432,0.320988,0.320475,0.321212,0.324232,0.313531,0.319149,3545,M.rubiginosa
0.33758,0.338983,0.333333,0.35,0.360902,0.345528,0.35274,0.352349,0.357143,0.347403,0.35,0.350365,0.339367,0.355623,0.354839,0.349869,0.352785,0.338667,0.353125,0.354396,0.353448,0.348703,0.350829,0.358209,0.357955,0.346774,0.347339,0.357771,0.355422,0.349162,0.358896,0.339572,0.336735,0.335938,0.350515,0.344311,0.346457,4767,C.brasiliensis
0.331395,0.344538,0.329843,0.316,0.335616,0.342857,0.340491,0.344928,0.345638,0.346821,0.343234,0.33795,0.336806,0.346049,0.349241,0.346793,0.343826,0.34292,0.352273,0.347826,0.356481,0.353846,0.346983,0.357631,0.357918,0.346228,0.34596,0.347932,0.345324,0.347319,0.353222,0.348697,0.345029,0.347548,0.34949,0.348946,0.354125,5097,C.brasiliensis
0.335329,0.331169,0.333333,0.331237,0.321513,0.328446,0.335038,0.3297,0.335294,0.328125,0.33218,0.30566,0.318408,0.322353,0.322718,0.31746,0.325411,0.31992,0.327766,0.326165,0.321839,0.332661,0.334038,0.339492,0.348178,0.338004,0.349593,0.336714,0.341573,0.344749,0.34141,0.346895,0.340381,0.339901,0.351675,0.342159,0.345168,5595,P.torta
0.322981,0.307018,0.329609,0.323944,0.333333,0.340659,0.334328,0.352201,0.335689,0.334311,0.344444,0.330986,0.325,0.34492,0.343826,0.343458,0.346578,0.335586,0.349462,0.345708,0.349057,0.348148,0.343675,0.353723,0.348039,0.340633,0.34375,0.3425,0.342857,0.341584,0.345845,0.341289,0.338636,0.338129,0.339744,0.340102,0.335681,4414,C.brasiliensis
0.342541,0.313559,0.320442,0.321429,0.335664,0.337449,0.33218,0.334437,0.336957,0.349153,0.326733,0.325,0.351598,0.346354,0.34507,0.343964,0.345455,0.339667,0.341333,0.348235,0.345411,0.346988,0.352941,0.350384,0.349633,0.341121,0.341837,0.346253,0.340314,0.347044,0.350267,0.341646,0.342169,0.342105,0.348083,0.33518,0.340852,4880,C.brasiliensis
0.357143,0.317829,0.321429,0.336874,0.33179,0.336653,0.331551,0.338346,0.337325,0.330709,0.328671,0.338843,0.295896,0.327824,0.335526,0.334311,0.335674,0.333333,0.335085,0.333333,0.339142,0.342105,0.336585,0.335085,0.335085,0.333333,0.342818,0.339779,0.338645,0.343305,0.333333,0.34188,0.333841,0.333984,0.333333,0.338068,0.34278,3460,M.rubiginosa
