@relation ephenology_all-5-fold-4-06G.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 {A.tomentosum,C.brasiliensis,M.guianensis,M.rubiginosa,P.ramiflora,P.torta}

@data

0.325301,0.333333,0.330935,0.309463,0.307494,0.335484,0.325373,0.326154,0.337037,0.326027,0.344086,0.326599,0.311927,0.309406,0.326291,0.323944,0.322078,0.332481,0.317333,0.321696,0.327128,0.330435,0.333333,0.340686,0.33515,0.330579,0.324561,0.341538,0.330357,0.342767,0.32659,0.320588,0.313953,0.322388,0.337705,0.325503,0.318713,4291,P.torta
0.28481,0.290076,0.316456,0.320088,0.320542,0.325069,0.330073,0.331671,0.332494,0.335052,0.335312,0.320242,0.314121,0.33271,0.328829,0.332737,0.327465,0.325545,0.334728,0.337032,0.331137,0.336331,0.330709,0.335085,0.333333,0.330447,0.330592,0.325704,0.32381,0.327273,0.33518,0.325497,0.327138,0.334792,0.335085,0.324561,0.333898,821,M.rubiginosa
0.320158,0.298507,0.321429,0.3157,0.320988,0.326484,0.332008,0.33833,0.336562,0.329365,0.329609,0.312268,0.30094,0.328926,0.332845,0.328622,0.327869,0.32853,0.333333,0.336461,0.330882,0.338736,0.33578,0.335092,0.331453,0.339237,0.333884,0.329204,0.321767,0.329068,0.329609,0.326203,0.336466,0.333333,0.339119,0.324176,0.329247,2796,P.torta
0.333333,0.333333,0.319767,0.330935,0.340149,0.329493,0.334719,0.339583,0.34186,0.331933,0.338624,0.319277,0.328313,0.333846,0.333333,0.332253,0.335913,0.330893,0.332398,0.332418,0.338346,0.337461,0.342152,0.335535,0.336219,0.328424,0.330849,0.333898,0.331169,0.330935,0.33,0.335034,0.335079,0.340249,0.330484,0.330247,0.330409,1805,A.tomentosum
0.333333,0.311321,0.321637,0.337778,0.32,0.316062,0.334746,0.335793,0.349398,0.348659,0.335907,0.33871,0.337255,0.345345,0.351801,0.332536,0.347826,0.34542,0.344371,0.343936,0.337972,0.343374,0.328571,0.337104,0.331942,0.332627,0.335648,0.333333,0.335766,0.328704,0.336788,0.330337,0.330357,0.32538,0.330556,0.328467,0.334086,3617,A.tomentosum
0.32,0.327586,0.333333,0.326531,0.324468,0.335079,0.340517,0.340336,0.334951,0.340249,0.341667,0.337461,0.338583,0.33677,0.340058,0.334211,0.335244,0.340116,0.339683,0.337243,0.343653,0.332353,0.335121,0.344538,0.341737,0.339726,0.340176,0.339339,0.34139,0.337017,0.349057,0.337079,0.338624,0.335784,0.343465,0.332326,0.343195,5996,C.brasiliensis
0.322581,0.328947,0.340426,0.323944,0.257143,0.298507,0.28655,0.337079,0.314917,0.32967,0.308081,0.295337,0.317241,0.293103,0.305921,0.297872,0.287938,0.32,0.324528,0.322695,0.319392,0.313653,0.312925,0.311573,0.322684,0.313609,0.313793,0.313726,0.317152,0.317073,0.323432,0.319876,0.321321,0.32853,0.336601,0.320946,0.330128,3816,M.rubiginosa
0.341176,0.327434,0.333333,0.355172,0.351695,0.331878,0.330961,0.353741,0.342205,0.341297,0.341637,0.331269,0.336245,0.337989,0.340426,0.329545,0.349776,0.345982,0.352632,0.347126,0.349127,0.344737,0.345865,0.344,0.348601,0.347921,0.344913,0.349127,0.35443,0.345679,0.348958,0.339901,0.338747,0.345499,0.35061,0.34026,0.35122,4784,C.brasiliensis
0.318182,0.333333,0.32,0.317597,0.309322,0.315217,0.316742,0.333333,0.335025,0.324,0.336788,0.333333,0.308571,0.334572,0.352941,0.347079,0.340659,0.33526,0.347003,0.340984,0.356322,0.346154,0.32852,0.34471,0.328025,0.346561,0.345763,0.34386,0.347003,0.331148,0.345745,0.352381,0.332394,0.348584,0.343826,0.344388,0.345416,3814,A.tomentosum
0.347518,0.294118,0.304878,0.315942,0.305755,0.325991,0.342205,0.328358,0.329218,0.334802,0.325472,0.3,0.332016,0.340625,0.334262,0.334951,0.343964,0.351474,0.351415,0.355505,0.347258,0.346354,0.34878,0.355658,0.354691,0.34322,0.349882,0.3525,0.355392,0.347619,0.352217,0.33871,0.337719,0.339744,0.350333,0.339523,0.338129,3832,M.rubiginosa
0.348993,0.319588,0.333333,0.333333,0.319149,0.321782,0.317797,0.33463,0.33617,0.36214,0.341549,0.342995,0.347267,0.352617,0.345703,0.353061,0.345528,0.346076,0.351163,0.351351,0.356164,0.355742,0.363415,0.361419,0.364444,0.352577,0.356796,0.357942,0.352174,0.351981,0.355353,0.35468,0.347826,0.348889,0.356994,0.343826,0.358277,5002,C.brasiliensis
