@relation ephenology_all-5-fold-1-07R.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 {A.tomentosum,C.brasiliensis,M.guianensis,M.rubiginosa,P.ramiflora,P.torta}

@data

0.368132,0.375,0.362667,0.385542,0.375,0.364341,0.384793,0.378076,0.373096,0.371053,0.379691,0.375276,0.382289,0.367021,0.379487,0.364103,0.373272,0.365625,0.377483,0.369565,0.37766,0.378224,0.365994,0.384615,0.364583,0.362832,0.357639,0.365931,0.364017,0.34,0.358871,0.371179,0.349442,0.357367,0.355865,0.343096,0.366412,5284,C.brasiliensis
0.337802,0.345679,0.333771,0.333333,0.333773,0.347458,0.343844,0.342025,0.366929,0.354892,0.354839,0.344186,0.333333,0.340611,0.361017,0.355109,0.348315,0.341026,0.34891,0.359016,0.341256,0.344583,0.339483,0.335938,0.360825,0.367347,0.338509,0.347222,0.354276,0.354545,0.354561,0.342657,0.350093,0.343284,0.34965,0.342916,0.350294,4446,P.torta
0.353612,0.371528,0.352657,0.353535,0.35514,0.33945,0.350877,0.339367,0.368,0.357414,0.361111,0.376176,0.376176,0.355263,0.362637,0.357639,0.370821,0.376812,0.382263,0.388199,0.374214,0.376623,0.383436,0.387218,0.390313,0.393836,0.376344,0.383033,0.39548,0.38983,0.391421,0.398417,0.384401,0.373134,0.387805,0.375661,0.381074,5014,C.brasiliensis
0.329231,0.361809,0.338558,0.343849,0.345238,0.339506,0.340764,0.340361,0.352941,0.353116,0.340102,0.354839,0.364055,0.35443,0.351899,0.351942,0.352304,0.361186,0.355491,0.367601,0.351097,0.35493,0.347222,0.375691,0.357798,0.352785,0.349241,0.356546,0.359773,0.354005,0.362832,0.366197,0.360614,0.356265,0.364286,0.351124,0.367123,3558,M.rubiginosa
0.33871,0.357513,0.333333,0.329815,0.332895,0.336538,0.338753,0.348348,0.38918,0.382239,0.376271,0.358407,0.352632,0.340456,0.371522,0.37,0.35303,0.363354,0.355083,0.352025,0.342446,0.340611,0.372134,0.347107,0.374775,0.386768,0.342383,0.365079,0.380228,0.378119,0.377907,0.370445,0.376147,0.356923,0.369412,0.371758,0.381963,3746,P.ramiflora
0.356968,0.364562,0.369565,0.365751,0.360281,0.35159,0.353147,0.35649,0.365657,0.350562,0.363239,0.365751,0.371429,0.376652,0.357968,0.365239,0.340528,0.363184,0.347953,0.363636,0.363636,0.355172,0.346032,0.378917,0.354244,0.358247,0.336364,0.353125,0.35474,0.339523,0.351906,0.36036,0.350975,0.353247,0.349593,0.352298,0.355505,5432,C.brasiliensis
0.335085,0.324943,0.333333,0.333333,0.329829,0.329829,0.333333,0.333333,0.333333,0.332,0.333333,0.33042,0.310638,0.333333,0.333333,0.329829,0.329829,0.31586,0.332895,0.335085,0.332895,0.332895,0.333333,0.333333,0.333333,0.329829,0.335085,0.333333,0.329829,0.329829,0.333333,0.329829,0.333333,0.308008,0.31444,0.335085,0.333333,3461,M.rubiginosa
0.338028,0.382212,0.370968,0.355805,0.353846,0.355805,0.353125,0.353474,0.355014,0.358289,0.373656,0.382716,0.38427,0.371508,0.375661,0.370558,0.359244,0.370892,0.37883,0.409639,0.385965,0.390244,0.381609,0.393064,0.399527,0.386574,0.368526,0.382857,0.389722,0.3664,0.38477,0.38447,0.391111,0.376499,0.388889,0.387226,0.395712,4984,C.brasiliensis
0.346154,0.371298,0.375,0.367206,0.379227,0.377724,0.388235,0.375297,0.378238,0.360656,0.360775,0.361789,0.369231,0.377934,0.361858,0.358537,0.358911,0.363445,0.362117,0.373887,0.371951,0.379888,0.352246,0.379545,0.355,0.353571,0.346154,0.352151,0.35049,0.342857,0.35,0.359281,0.347826,0.347305,0.35634,0.358543,0.355814,5301,C.brasiliensis
