@relation ephenology_all-5-fold-4-09G.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 {A.tomentosum,C.brasiliensis,M.guianensis,M.rubiginosa,P.ramiflora,P.torta}

@data

0.341772,0.35034,0.340164,0.339623,0.340866,0.333962,0.34638,0.332136,0.337325,0.337719,0.339587,0.335784,0.334254,0.328996,0.329243,0.327935,0.33033,0.338983,0.346604,0.331579,0.338272,0.338086,0.34058,0.349367,0.354331,0.349515,0.335616,0.334963,0.33264,0.333333,0.327027,0.333333,0.327177,0.341818,0.348703,0.337634,0.34472,4291,P.torta
0.337264,0.326683,0.330508,0.331224,0.332623,0.331897,0.334792,0.332599,0.338428,0.336364,0.33853,0.343049,0.336188,0.338983,0.343035,0.337232,0.338889,0.33547,0.340326,0.343318,0.34009,0.342593,0.342282,0.342404,0.344519,0.340278,0.332579,0.335556,0.329341,0.339286,0.341629,0.332584,0.341346,0.340102,0.339744,0.338902,0.337209,821,M.rubiginosa
0.337644,0.334653,0.33871,0.336552,0.339648,0.338776,0.337875,0.337017,0.341598,0.340458,0.343511,0.33996,0.329832,0.338129,0.33617,0.343109,0.343173,0.335294,0.347578,0.350072,0.349501,0.347763,0.344778,0.349304,0.345979,0.342466,0.349618,0.343214,0.341394,0.346812,0.348387,0.347107,0.354779,0.341463,0.348837,0.345745,0.342697,2796,P.torta
0.342593,0.342657,0.344234,0.34,0.345455,0.342007,0.340344,0.344554,0.346296,0.350622,0.345631,0.349785,0.339056,0.344086,0.343972,0.34589,0.34689,0.347122,0.348748,0.34556,0.348659,0.344554,0.350195,0.345924,0.348515,0.351406,0.346392,0.34322,0.343866,0.347458,0.34322,0.350877,0.34632,0.347607,0.338521,0.339623,0.340909,1805,A.tomentosum
0.326996,0.347541,0.334012,0.346591,0.337662,0.341646,0.346241,0.346939,0.355599,0.349398,0.348993,0.353211,0.352632,0.345154,0.34398,0.339109,0.355705,0.35,0.34275,0.348936,0.349892,0.346983,0.336152,0.340249,0.340081,0.345882,0.341556,0.330526,0.331407,0.341513,0.329854,0.338235,0.330986,0.34058,0.336343,0.33253,0.329949,3617,A.tomentosum
0.344828,0.348754,0.344411,0.343195,0.344118,0.337243,0.338279,0.336391,0.342342,0.341463,0.340176,0.341333,0.341598,0.340557,0.340176,0.340782,0.340824,0.337563,0.340557,0.335505,0.341693,0.336449,0.335366,0.334365,0.341463,0.337243,0.338608,0.338558,0.339623,0.339506,0.33758,0.338658,0.341853,0.340541,0.34058,0.340694,0.341538,5996,C.brasiliensis
0.336634,0.322404,0.326389,0.310559,0.326667,0.316176,0.328467,0.324503,0.306667,0.318841,0.331551,0.32459,0.319838,0.333333,0.316384,0.31746,0.320896,0.335821,0.308642,0.319728,0.319018,0.333333,0.336735,0.31441,0.327103,0.333333,0.308824,0.315534,0.318471,0.312741,0.315315,0.31746,0.323887,0.336735,0.340764,0.319502,0.328221,3816,M.rubiginosa
0.338164,0.346535,0.337607,0.344168,0.341414,0.332594,0.336406,0.337691,0.344017,0.345088,0.340336,0.343115,0.349162,0.337864,0.342213,0.340551,0.347368,0.350379,0.342163,0.336449,0.341418,0.339583,0.346774,0.340081,0.339827,0.348131,0.346856,0.34252,0.34,0.346076,0.338583,0.345238,0.342169,0.344262,0.347197,0.343013,0.342742,4784,C.brasiliensis
0.334177,0.331818,0.328313,0.32967,0.340557,0.338369,0.339031,0.334152,0.330688,0.339241,0.341693,0.362179,0.37037,0.349127,0.341108,0.350543,0.336601,0.342298,0.33584,0.341085,0.330935,0.330986,0.320574,0.342193,0.332075,0.328431,0.338509,0.348018,0.346154,0.32636,0.326446,0.348624,0.348765,0.3525,0.3536,0.355658,0.347826,3814,A.tomentosum
0.346154,0.363388,0.355346,0.336391,0.348168,0.356354,0.342183,0.359459,0.362398,0.358663,0.328244,0.33123,0.343575,0.345506,0.337386,0.342857,0.347181,0.352403,0.364641,0.353116,0.364583,0.344512,0.355556,0.358354,0.35376,0.354988,0.351163,0.342043,0.346979,0.357143,0.339956,0.346067,0.352761,0.343675,0.346847,0.347253,0.343458,3832,M.rubiginosa
0.310627,0.322581,0.31746,0.320542,0.322799,0.319915,0.316964,0.31746,0.33414,0.329718,0.339578,0.340771,0.344371,0.338902,0.353909,0.34902,0.35567,0.354545,0.347826,0.3625,0.353081,0.357513,0.350467,0.359615,0.362353,0.361905,0.356394,0.357778,0.339837,0.352381,0.35512,0.360515,0.349282,0.35443,0.345541,0.35914,0.356674,5002,C.brasiliensis
0.333333,0.322314,0.330292,0.333333,0.327327,0.334266,0.331404,0.335366,0.33441,0.342308,0.342213,0.350242,0.36338,0.354898,0.351967,0.354406,0.351852,0.355219,0.355,0.353846,0.350158,0.352113,0.361169,0.367241,0.353846,0.353881,0.348416,0.350825,0.342033,0.343704,0.345697,0.344262,0.349112,0.362881,0.343152,0.340659,0.342809,4400,P.torta
0.343109,0.34127,0.345566,0.34139,0.348243,0.343653,0.343465,0.344311,0.345345,0.347134,0.345566,0.337705,0.344948,0.34472,0.345238,0.341615,0.342105,0.338843,0.338235,0.342679,0.337989,0.343023,0.339233,0.349057,0.340176,0.33574,0.339744,0.333333,0.334262,0.342857,0.338415,0.339564,0.329966,0.335526,0.338462,0.33557,0.330033,4997,C.brasiliensis
0.346154,0.347682,0.349673,0.351438,0.347403,0.340067,0.343234,0.347826,0.350168,0.34386,0.348123,0.351515,0.35119,0.346863,0.35206,0.352459,0.349206,0.345515,0.341346,0.346154,0.348718,0.34359,0.337017,0.345972,0.342246,0.34252,0.342246,0.341584,0.34127,0.341584,0.343915,0.335025,0.339286,0.338558,0.346154,0.338542,0.348416,7334,M.rubiginosa
0.358796,0.356164,0.342508,0.348921,0.332378,0.359813,0.359155,0.354167,0.351955,0.347716,0.343602,0.345133,0.337121,0.343558,0.363636,0.344749,0.343529,0.345088,0.335893,0.344037,0.340807,0.339024,0.34279,0.32766,0.347319,0.353488,0.348018,0.342569,0.343434,0.352941,0.353107,0.339564,0.331058,0.35468,0.344758,0.345489,0.340741,5637,P.torta
0.344086,0.337209,0.342711,0.342569,0.346633,0.346535,0.348371,0.348958,0.35641,0.360313,0.362881,0.358056,0.355844,0.359195,0.362881,0.360526,0.355987,0.359729,0.359281,0.35503,0.356742,0.357746,0.358757,0.350404,0.35989,0.357724,0.355742,0.35,0.352941,0.354667,0.350543,0.352436,0.349854,0.350427,0.35177,0.348189,0.346667,1280,C.brasiliensis
0.320175,0.321622,0.322807,0.32807,0.327338,0.3222,0.332696,0.331492,0.334532,0.335155,0.343478,0.34398,0.35376,0.345009,0.345133,0.350081,0.355124,0.353474,0.351695,0.353111,0.356716,0.356495,0.358934,0.366864,0.363086,0.364299,0.354599,0.362637,0.338753,0.359937,0.360248,0.361331,0.349014,0.355856,0.339763,0.348485,0.344288,4423,P.torta
0.344778,0.348442,0.338757,0.333333,0.338831,0.340611,0.337758,0.347586,0.34512,0.342033,0.340517,0.334651,0.333771,0.339909,0.338667,0.345679,0.322785,0.333771,0.323296,0.330745,0.324841,0.324921,0.332308,0.349582,0.347165,0.345354,0.317957,0.323899,0.34375,0.341463,0.341954,0.341259,0.334315,0.338667,0.338216,0.307953,0.325653,1806,M.rubiginosa
0.33631,0.335294,0.334963,0.335025,0.334988,0.334988,0.330864,0.34026,0.344221,0.345178,0.346479,0.341584,0.335681,0.353591,0.351852,0.35248,0.340426,0.342268,0.34689,0.348837,0.349869,0.355742,0.354523,0.354005,0.353403,0.351648,0.348442,0.351064,0.355769,0.360231,0.354108,0.363636,0.352239,0.356948,0.355658,0.343434,0.349854,1326,C.brasiliensis
0.326866,0.331776,0.329562,0.332331,0.33284,0.329971,0.329529,0.329545,0.333333,0.334975,0.338369,0.341004,0.347926,0.343598,0.339315,0.338658,0.343318,0.352041,0.347541,0.35182,0.346359,0.342756,0.341637,0.359107,0.351724,0.349693,0.347826,0.355286,0.341501,0.355219,0.34858,0.343849,0.341155,0.348039,0.339595,0.343333,0.338858,4548,P.torta
0.33892,0.330317,0.334448,0.333333,0.335537,0.335582,0.332779,0.332198,0.331606,0.330998,0.33463,0.337423,0.331776,0.335968,0.335125,0.336252,0.335341,0.336039,0.336717,0.338129,0.338078,0.339623,0.339496,0.340206,0.34854,0.341365,0.345489,0.351885,0.34375,0.353497,0.353383,0.353497,0.357522,0.362025,0.353398,0.351464,0.352705,2432,A.tomentosum
0.339181,0.334171,0.336879,0.335689,0.335664,0.333925,0.334545,0.332703,0.333942,0.336032,0.335341,0.337237,0.329384,0.335271,0.333333,0.332717,0.333333,0.332075,0.334623,0.333977,0.337143,0.332692,0.332696,0.334608,0.338432,0.340771,0.333969,0.334586,0.334437,0.335835,0.337121,0.34252,0.341772,0.348371,0.344507,0.3375,0.34238,2438,P.torta
0.353053,0.35369,0.352727,0.35625,0.346715,0.357683,0.35369,0.35,0.344111,0.354749,0.347032,0.35,0.350797,0.332468,0.348624,0.351598,0.363934,0.349904,0.338362,0.352442,0.347913,0.34414,0.340782,0.343832,0.34596,0.343206,0.344898,0.34375,0.341985,0.359116,0.34359,0.345178,0.339623,0.343182,0.346749,0.344583,0.34593,5381,C.brasiliensis
0.354497,0.371875,0.359494,0.387681,0.35809,0.365942,0.371517,0.357702,0.376712,0.364796,0.350565,0.356989,0.358247,0.365112,0.348259,0.353251,0.373541,0.364362,0.349754,0.375817,0.357895,0.36214,0.358156,0.35814,0.362222,0.339394,0.336347,0.346939,0.340102,0.343396,0.343558,0.343396,0.347505,0.338542,0.334755,0.34542,0.341584,3674,M.rubiginosa
0.344473,0.364035,0.348485,0.345013,0.343931,0.343575,0.347305,0.349544,0.350453,0.347003,0.347692,0.347368,0.355469,0.345345,0.343284,0.341954,0.348315,0.351275,0.340974,0.349315,0.339506,0.345395,0.341137,0.349544,0.350515,0.346429,0.351974,0.348276,0.341176,0.351351,0.352727,0.349481,0.355224,0.355634,0.35109,0.355172,0.353333,4916,C.brasiliensis
0.341067,0.328125,0.335329,0.338677,0.334661,0.3361,0.338266,0.337778,0.339056,0.348416,0.352679,0.357143,0.353982,0.350993,0.359244,0.352577,0.353562,0.352713,0.352564,0.356371,0.355895,0.349558,0.349099,0.35814,0.359223,0.361905,0.366197,0.351724,0.357143,0.352403,0.357683,0.350746,0.350515,0.357143,0.351464,0.356643,0.356201,1170,C.brasiliensis
