@relation ephenology_all-5-fold-2-07B.tes

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 {A.tomentosum,C.brasiliensis,M.guianensis,M.rubiginosa,P.ramiflora,P.torta}

@data

0.329381,0.327869,0.333333,0.33377,0.335085,0.335085,0.333333,0.333333,0.330263,0.309091,0.310734,0.306641,0.317016,0.333333,0.331558,0.325798,0.332882,0.320988,0.331572,0.329815,0.331579,0.330698,0.331135,0.346535,0.333333,0.3125,0.329829,0.333333,0.329184,0.334699,0.333333,0.333333,0.332016,0.34009,0.335938,0.332893,0.330677,2814,P.torta
0.311392,0.281106,0.305136,0.322034,0.303835,0.32312,0.315789,0.307902,0.290865,0.309227,0.296943,0.278,0.270492,0.303922,0.290254,0.294,0.292308,0.279642,0.283721,0.274939,0.296296,0.291765,0.289044,0.274314,0.281984,0.279898,0.290598,0.289044,0.274151,0.287805,0.28022,0.291667,0.292079,0.301235,0.278177,0.286127,0.280112,3601,M.rubiginosa
0.313019,0.326923,0.331143,0.333333,0.335085,0.335085,0.329365,0.325144,0.331699,0.335677,0.323913,0.320197,0.337017,0.333333,0.326572,0.32582,0.338211,0.339093,0.332805,0.333863,0.337134,0.3367,0.334526,0.331742,0.331104,0.317907,0.334365,0.326019,0.32899,0.329114,0.327407,0.329394,0.325843,0.330435,0.324275,0.324513,0.331081,3178,P.ramiflora
0.319328,0.288235,0.312655,0.316176,0.305439,0.3125,0.319088,0.308682,0.269939,0.285256,0.284404,0.28739,0.278409,0.325678,0.291553,0.306695,0.322951,0.281977,0.305011,0.303371,0.325188,0.3159,0.309406,0.275862,0.304762,0.270325,0.323144,0.318328,0.301887,0.308738,0.315789,0.311075,0.306397,0.275253,0.272908,0.314696,0.307823,4430,M.guianensis
0.330435,0.288462,0.316092,0.337349,0.331325,0.337017,0.335135,0.331579,0.302439,0.316964,0.322727,0.285276,0.270833,0.315789,0.303571,0.308036,0.298246,0.291829,0.292079,0.284974,0.309524,0.303738,0.313726,0.276667,0.305825,0.293478,0.31,0.291846,0.290043,0.289256,0.295833,0.282946,0.286765,0.294118,0.271341,0.272727,0.278539,4558,C.brasiliensis
0.347756,0.415617,0.346908,0.347561,0.349782,0.350318,0.351133,0.355,0.359272,0.369091,0.401235,0.41,0.476341,0.368515,0.394231,0.397706,0.369983,0.42928,0.366957,0.362816,0.362989,0.362816,0.38061,0.430279,0.373866,0.387914,0.352846,0.358232,0.365289,0.358974,0.358372,0.353583,0.359223,0.410926,0.449561,0.379374,0.365132,6476,P.torta
0.331818,0.297872,0.328638,0.360976,0.334928,0.344037,0.331731,0.343137,0.296,0.317073,0.312,0.298246,0.29321,0.3083,0.306859,0.30662,0.310345,0.295139,0.285714,0.280488,0.284123,0.284457,0.295455,0.301887,0.268698,0.286184,0.29476,0.295154,0.2875,0.287469,0.291855,0.278846,0.283619,0.315385,0.286154,0.300412,0.280576,3545,M.rubiginosa
0.286567,0.264881,0.283582,0.279743,0.290323,0.288591,0.279461,0.279141,0.26361,0.280347,0.274566,0.268293,0.267606,0.279133,0.269122,0.276923,0.275434,0.262987,0.257985,0.259009,0.278017,0.274678,0.269841,0.261745,0.258621,0.260116,0.293718,0.268571,0.257576,0.264151,0.263052,0.273453,0.267516,0.27707,0.254499,0.27451,0.270916,4767,C.brasiliensis
0.285326,0.25866,0.269231,0.262264,0.26087,0.256659,0.275591,0.28169,0.264398,0.272289,0.276923,0.27451,0.262806,0.269939,0.265252,0.275482,0.289003,0.269923,0.270633,0.258503,0.269231,0.269373,0.273946,0.253406,0.269625,0.276824,0.285417,0.270758,0.270751,0.25,0.276978,0.284603,0.28115,0.276382,0.238095,0.280859,0.284298,5097,C.brasiliensis
